Make,Model,Class,Engine_L,Cylinders,Drive,City_MPG,Hwy_MPG,Combined_MPG,Annual_Fuel_Cost,CO2_grams_per_mi
Aston Martin Lagonda Ltd,Vanquish,Two Seaters,5.2,12,Rear-Wheel,13,21,16,3900,563
Aston Martin Lagonda Ltd,Vanquish Volante,Two Seaters,5.2,12,Rear-Wheel,13,20,16,3900,568
Aston Martin Lagonda Ltd,Vantage,Two Seaters,4.0,8,Rear-Wheel,15,22,18,3450,498
BMW,Z4 M40i,Two Seaters,3.0,6,Rear-Wheel,23,29,25,2500,346
BMW,Z4 M40i,Two Seaters,3.0,6,Rear-Wheel,19,26,22,2850,407
BMW,Z4 sDrive30i,Two Seaters,2.0,4,Rear-Wheel,25,33,28,2200,312
Chevrolet,CORVETTE,Two Seaters,6.2,8,Rear-Wheel,16,25,19,3300,474
Chevrolet,CORVETTE E-RAY,Two Seaters,6.2,8,All-Wheel,16,24,19,3300,477
Chevrolet,CORVETTE Z06,Two Seaters,5.5,8,Rear-Wheel,12,21,15,4150,597
Chevrolet,CORVETTE Z06 CARBON AERO,Two Seaters,5.5,8,Rear-Wheel,12,19,14,4450,631
Chevrolet,CORVETTE ZR1,Two Seaters,5.5,8,Rear-Wheel,12,18,14,4450,629
Ferrari S.p.A.,12Cilindri,Two Seaters,6.5,12,Rear-Wheel,12,19,14,4450,619
Ferrari S.p.A.,12Cilindri Spider,Two Seaters,6.5,12,Rear-Wheel,12,17,14,4450,633
Lamborghini,Revuelto,Two Seaters,6.5,12,All-Wheel,10,17,12,4750,753
Lamborghini,Temerario,Two Seaters,4.0,8,All-Wheel,14,19,16,3650,556
Mercedes-Benz,AMG GT 55 4MATIC+ (coupe),Two Seaters,4.0,8,All-Wheel,14,20,16,3900,558
Mercedes-Benz,AMG GT 63 4MATIC+ (coupe),Two Seaters,4.0,8,All-Wheel,14,20,16,3900,558
Mercedes-Benz,AMG GT 63 PRO 4MATIC+ (coupe),Two Seaters,4.0,8,All-Wheel,14,20,16,3900,558
NISSAN,Z,Two Seaters,3.0,6,Rear-Wheel,18,24,20,3100,435
NISSAN,Z,Two Seaters,3.0,6,Rear-Wheel,19,28,22,2850,405
NISSAN,Z NISMO,Two Seaters,3.0,6,Rear-Wheel,17,24,19,3300,469
TOYOTA,Supra 2.0,Two Seaters,2.0,4,Rear-Wheel,25,31,27,2300,322
TOYOTA,Supra 3.0,Two Seaters,3.0,6,Rear-Wheel,22,29,25,2500,349
TOYOTA,Supra 3.0,Two Seaters,3.0,6,Rear-Wheel,19,26,21,2950,408
Aston Martin Lagonda Ltd,DB12 V8,Minicompact Cars,4.0,8,Rear-Wheel,15,22,17,3650,507
Ferrari S.p.A.,Roma Spider,Minicompact Cars,3.9,8,Rear-Wheel,17,22,19,3300,467
LEXUS,LC 500 CONVERTIBLE,Minicompact Cars,5.0,8,Rear-Wheel,15,25,18,3450,489
Mercedes-Benz,AMG SL 43,Minicompact Cars,2.0,4,Rear-Wheel,19,27,22,2850,400
Mercedes-Benz,AMG SL 55 4MATIC+,Minicompact Cars,4.0,8,All-Wheel,14,21,16,3900,552
Mercedes-Benz,AMG SL 63 4MATIC+,Minicompact Cars,4.0,8,All-Wheel,14,21,16,3900,552
Mercedes-Benz,SL 680 Maybach,Minicompact Cars,4.0,8,All-Wheel,13,20,16,3900,558
Mini,Cooper C Convertible,Minicompact Cars,2.0,4,Front-Wheel,27,37,30,2100,287
Mini,Cooper S Convertible,Minicompact Cars,2.0,4,Front-Wheel,26,36,30,2100,292
Mini,JCW Convertible,Minicompact Cars,2.0,4,Front-Wheel,26,35,30,2100,296
Porsche,911 Carrera,Minicompact Cars,3.0,6,Rear-Wheel,18,25,21,2950,424
Porsche,911 Carrera 4 GTS,Minicompact Cars,3.6,6,All-Wheel,17,23,19,3300,468
Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars,3.6,6,All-Wheel,17,23,19,3300,469
Porsche,911 Carrera 4S,Minicompact Cars,3.0,6,All-Wheel,17,24,20,3100,453
Porsche,911 Carrera 4S Cabriolet,Minicompact Cars,3.0,6,All-Wheel,17,24,20,3100,446
Porsche,911 Carrera Cabriolet,Minicompact Cars,3.0,6,Rear-Wheel,18,25,21,2950,429
Porsche,911 Carrera GTS,Minicompact Cars,3.6,6,Rear-Wheel,17,24,20,3100,453
Porsche,911 Carrera GTS Cabriolet,Minicompact Cars,3.6,6,Rear-Wheel,17,23,19,3300,467
Porsche,911 Carrera S,Minicompact Cars,3.0,6,Rear-Wheel,17,24,20,3100,445
Porsche,911 Carrera S Cabriolet,Minicompact Cars,3.0,6,Rear-Wheel,17,24,20,3100,455
Porsche,911 Carrera T,Minicompact Cars,3.0,6,Rear-Wheel,17,25,20,3100,448
Porsche,911 Carrera T Cabriolet,Minicompact Cars,3.0,6,Rear-Wheel,17,25,19,3300,469
Porsche,911 Targa 4 GTS,Minicompact Cars,3.6,6,All-Wheel,17,23,19,3300,467
Porsche,911 Targa 4S,Minicompact Cars,3.0,6,All-Wheel,17,24,20,3100,447
Subaru,BRZ,Minicompact Cars,2.4,4,Rear-Wheel,20,27,22,2850,399
Subaru,BRZ,Minicompact Cars,2.4,4,Rear-Wheel,21,30,25,2500,362
Audi,A3 quattro,Subcompact Cars,2.0,4,All-Wheel,24,34,28,2200,323
Audi,RS 3,Subcompact Cars,2.5,5,All-Wheel,20,29,23,2700,387
Audi,S3,Subcompact Cars,2.0,4,All-Wheel,23,31,26,2400,346
BMW,230i Coupe,Subcompact Cars,2.0,4,Rear-Wheel,26,35,30,2100,296
BMW,230i xDrive Coupe,Subcompact Cars,2.0,4,All-Wheel,25,33,28,2200,313
BMW,430i Convertible,Subcompact Cars,2.0,4,Rear-Wheel,27,35,30,2100,295
BMW,430i Coupe,Subcompact Cars,2.0,4,Rear-Wheel,28,36,31,2000,285
BMW,430i xDrive Convertible,Subcompact Cars,2.0,4,All-Wheel,24,33,28,2200,316
BMW,430i xDrive Coupe,Subcompact Cars,2.0,4,All-Wheel,27,34,30,2100,294
BMW,840i Convertible,Subcompact Cars,3.0,6,Rear-Wheel,21,29,24,2600,368
BMW,840i Coupe,Subcompact Cars,3.0,6,Rear-Wheel,21,29,24,2600,368
